time to NEB,1i,1ii,4i,4ii,,1i,1ii,2i,2ii,3i,3ii,,1i,1ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii
-1200,_blueDark_g,_brownDark_r,_blueDark_r,_blueDark_g,,_blueDark_g,_brownDark_r,_blue_,_blueDark_r,_blueDark_g,_brown_r,,_blueDark_r,_pink_,_blue_,_brownDark_r,,_blue_,_pink_,_blue_,_blue_,_blueDark_g,_blueDark_r,_blueDark_r,_brownDark_g,_blue_,,
-1080,_brownDark_r,_brownDark_r,_blueDark_g,_blue_,,_brown_r,_blue_,_blue_,_brownDark_r,_blueDark_r,_brown_r,,_blue_,_blue_,_blueDark_r,_pink_,,_blue_,_blue_,_blue_,_blue_,_blue_,_brown_r,_blueDark_r,_blueDark_r,_blueDark_r,,
-960,_pink_,_brownDark_r,_blueDark_r,_pink_,,_pink_,_blue_,_blue_,_blueDark_r,_blueDark_r,_brown_r,,_blueDark_r,_blue_,_blueDark_g,_blue_,,_blueDark_r,_brownDark_r,_blue_,_blue_,_blue_,_brown_r,_blueDark_r,_pink_,_brownDark_r,,
-840,_blueDark_r,_brownDark_r,_blue_,_pink_,,_pink_,_brown_g,_blueDark_r,_pink_,_brownDark_r,_brown_r,,_brownDark_r,_blue_,_blueDark_r,_blueDark_r,,_brownDark_r,_blueDark_r,_pink_,_blue_,_brownDark_r,_pink_,_pink_,_brownDark_g,_brownDark_r,,
-720,_blueDark_g,_brownDark_r,_blue_,_blue_,,_brownDark_r,_brownDark_g,_pink_,_pink_,_blueDark_r,_pink_,,_blueDark_r,_pink_,_brownDark_r,_blueDark_r,,_blue_,_pink_,_pink_,_pink_,_blue_,_brown_r,_pinkDark_,_pink_,_pink_,_blueDark_r,_blue_
-600,_pink_,_blueDark_r,_blueDark_g,_blue_,,_blue_,_pink_,_pink_,_brownDark_r,_blueDark_r,_pink_,,_brown_r,_blueDark_r,_pink_,_brown_r,,_blueDark_g,_blueDark_g,_pink_,_pink_,_blueDark_r,_blue_,_blueDark_g,_pink_,_blueDark_r,_brownDark_r,_blue_
-480,_pink_,_blueDark_r,_blueDark_r,_blueDark_g,,_blueDark_g,_blueDark_r,_blueDark_g,_pink_,_brownDark_r,_pink_,,_brown_r,_blue_,_pink_,_blueDark_r,,_blue_,_blueDark_r,_brownDark_r,_pink_,_blueDark_r,_pink_,_blue_,_brownDark_g,_blueDark_g,_brownDark_r,_pink_
-360,_pink_,_blueDark_r,_blue_,_pink_,,_pink_,_brownDark_g,_blueDark_g,_pink_,_brownDark_r,_brown_g,,_pink_,_pink_,_pinkDark_,_pink_,,_blue_,_pink_,_pink_,_brownDark_g,_blue_,_brown_g,_pink_,_blue_,_blueDark_r,_pink_,_blue_
-240,_pink_,_blueDark_g,_pink_,_brownDark_r,,_pink_,_pink_,_blue_,_blueDark_r,_brownDark_r,_blueDark_g,,_pink_,_pink_,_pink_,_pink_,,_brownDark_r,_blue_,_pink_,_brownDark_r,_blue_,_brownDark_g,_blue_,_brownDark_r,_blueDark_r,_pink_,_pink_
-120,_blueDark_r,_pink_,_blueDark_r,_pink_,,_pink_,_pink_,_pink_,_pink_,_brownDark_r,_blue_,,_brown_r,_blueDark_r,_pink_,_brownDark_r,,_brownDark_r,_brownDark_r,_blueDark_r,_pink_,_pink_,_pink_,_blue_,_blueDark_r,_blue_,_pink_,_pink_
