time to NEB,1i,1ii,2i,2ii,4i,4ii,5,6,7i,7ii,1,3,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8,3i,3ii,4i,4ii,5i,5ii,6,8,9,10,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7,8,9i,9ii,10i,10ii,10iii,11i,11ii
-4620,,,_blueDark_r,_blue_,_blueDark_r,_blue_,,_pink_,,,,,_brownDark_r,_blueDark_r,_brownDark_r,_blue_,,,_blue_,_brownDark_r,_brownDark_r,,,_blueDark_r,_blue_,,,,,,,_blue_,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-4560,,,_blueDark_r,_brownDark_g,_blue_,_blue_,,_blueDark_g,,,,,_blue_,_blueDark_r,_brownDark_r,_blueDark_r,,,_blue_,_blueDark_r,_blueDark_r,,,_blue_,_blue_,,,,,,,_blue_,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-4500,,,_blue_,_blueDark_g,_blue_,_blue_,,_pink_,,,,,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,,,_blue_,_blueDark_r,_pink_,,,_blue_,_brown_r,,,,,,,_brownDark_g,,,,,,,,,_blue_,,,,,,,,_blue_,_blue_
-4440,,,_blue_,_blue_,_brownDark_r,_blueDark_r,,_blueDark_g,,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,,,_blue_,_blueDark_r,_blue_,,,_blue_,_brown_r,,,,,,,_blue_,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-4380,,,_blueDark_r,_blue_,_brownDark_r,_brownDark_r,,_blueDark_r,,,,,_blue_,_blue_,_blueDark_r,_blue_,,,_blue_,_blueDark_r,_blue_,,,_blue_,_blue_,,,,,,,_pink_,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-4320,,,_blue_,_blueDark_r,_blue_,_brownDark_r,,_blue_,,,,,_blueDark_r,_blue_,_blue_,_blue_,,,_blue_,_blue_,_blue_,,,_blue_,_brownDark_r,,,,,,,_blue_,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-4260,,,_blue_,_blueDark_r,_blue_,_blue_,,_brownDark_r,,,,,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,,,_blue_,_brownDark_r,_blue_,,,_blueDark_r,_brownDark_r,,,,,,,_pink_,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-4200,,,_blue_,_blueDark_r,_blueDark_g,_blue_,,_blue_,,,,,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_blue_,,,_blueDark_r,_blue_,,,,,,,_blueDark_r,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blueDark_r
-4140,,,_blue_,_blueDark_g,_blue_,_blue_,,_blueDark_r,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,_blue_,,,_blue_,_blueDark_r,,,,,,,_blue_,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_brownDark_r
-4080,,,_blue_,_pink_,_brownDark_r,_blue_,,_brownDark_r,,,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,,,_blue_,_blueDark_r,,,_blueDark_r,,,,_blue_,,_blue_,_blue_,,,,,,_blue_,,,,,,,,_blueDark_r,_blueDark_r
