time to NEB,1i,1ii,1iii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,1,2i,2ii,3i,3ii,4i,4ii,5,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii,1i,1ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii
-4920,,,,,,_brownDark_r,_brown_r,,,,,,_blue_,_blueDark_r,_brownDark_r,_blueDark_r,,,,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blue_,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,,,_brownDark_r,_blue_,_blueDark_r,_blue_,,,,,,,,,,,_brownDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blue_
-4860,,,,,,_blue_,_brownDark_r,,,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,,,,_blue_,_blue_,_blue_,_blue_,,,_blueDark_r,_blue_,_pink_,_blueDark_r,_brown_r,_blue_,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,,,,,,,_brownDark_r,_blue_,_blue_,_blue_,_blue_
-4800,,,,,,_blue_,_blue_,,,,,,_pink_,_blueDark_r,_blueDark_r,_blue_,,,,_blueDark_r,_brownDark_r,_blue_,_blue_,,,_blueDark_r,_blue_,_blue_,_blueDark_r,_brown_r,_blue_,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,,,,,,_blueDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_g
-4740,,,,,,_blue_,_blue_,,,,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,_brownDark_r,_blue_,,,_blue_,_blue_,_blue_,_blueDark_r,_brown_r,_blue_,,,_blueDark_r,_blue_,_brownDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blue_,,_blueDark_g,_blue_
-4680,,,,,,_blueDark_r,_blue_,,,,,,_brownDark_r,_blueDark_r,,_blue_,,,,_blueDark_g,_brownDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_blueDark_r,_blue_,_brown_r,_blue_,,,_blue_,_blue_,_pink_,_blue_,,,,,,,,,,,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_
-4620,,,,,,_pink_,_blue_,,,,,,_blueDark_r,_blue_,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_blueDark_r,_blue_,_brown_r,_blue_,,,_blueDark_g,_blue_,_brownDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-4560,,,,,,_blue_,_blue_,,,,,,_brownDark_r,_blueDark_r,_blue_,_blue_,,,,_pink_,_brownDark_r,_pink_,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brown_r,_blue_,_blue_,_brownDark_r,_blueDark_g,_blue_,_blueDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blueDark_g,_blue_,_blue_,_blue_
-4500,,,,,,_blue_,_blue_,,,_brown_r,_blueDark_r,,_blueDark_r,_brownDark_r,_blue_,_blue_,,,,_blue_,_brownDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,_blue_,_blue_,_pink_,_blue_,_blue_,_blueDark_r,_pink_,_pink_,_blueDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-4440,_blueDark_g,_brownDark_r,_blueDark_g,,,_blue_,_brownDark_r,,,_blueDark_r,_blue_,,_brownDark_r,_pink_,_blueDark_r,_blue_,,,,_blue_,_brownDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,_blueDark_r,_pink_,_blueDark_r,_blueDark_r,_blue_,,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-4380,_brownDark_g,_brownDark_r,_blueDark_g,,,_blue_,_brown_r,,,_blueDark_r,_blue_,,_brownDark_r,_blueDark_r,,_blue_,,,,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_r,_pink_,,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
