time to NEB,1,2i,2ii,3i,3ii,4,5i,5ii,2,4,5i,5ii,6,7i,7ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii
-2280,_blueDark_r,_blue_,_blue_,_blue_,_brownDark_g,_pink_,_brownDark_r,_brownDark_r,_pink_,_blue_,,,_blue_,_brownDark_r,_blue_,_pink_,_pink_,,,_brownDark_r,_blue_,_brownDark_r,_blueDark_r,,,_pink_,_pink_
-2220,_blueDark_r,_pink_,_blueDark_g,_blue_,_pink_,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,_blueDark_g,,,_blueDark_r,_blue_,_brownDark_r,_brownDark_g,_brownDark_r,,,_brownDark_r,_blue_,_brownDark_r,_brownDark_g,,,_pink_,_blue_
-2160,_brownDark_r,_blue_,_blueDark_r,_blue_,_pink_,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,_pink_,,,_blue_,_blue_,_pink_,_pink_,_brownDark_r,,,_brownDark_r,_blue_,_brownDark_r,_pink_,,,_blueDark_g,_blue_
-2100,_brown_r,_blueDark_r,_brownDark_r,_blueDark_g,_pink_,_pink_,_brownDark_r,_blue_,_pink_,_blue_,,,_brownDark_r,_blue_,_brownDark_r,_pink_,_blueDark_r,,,_blue_,_blue_,_brownDark_r,_pink_,,,_blueDark_r,_blue_
-2040,_brown_r,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,_brownDark_r,_brownDark_r,_blue_,_blueDark_g,_brownDark_g,,,_blue_,_blue_,_pink_,_pink_,_blue_,,,_blueDark_r,_brownDark_r,_brownDark_r,_pink_,,,_blue_,_blueDark_r
-1980,_blueDark_r,_blue_,_pink_,_blue_,_blueDark_g,_blueDark_r,_brownDark_r,_brownDark_r,_blueDark_r,_pink_,,,_blue_,_blueDark_r,_pink_,_blueDark_g,_blueDark_r,,,_blue_,_brownDark_r,_brownDark_r,_blueDark_g,,,_blueDark_r,
-1920,_brown_r,_blueDark_r,_brownDark_r,_blue_,_pink_,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_g,,,_pink_,_blue_,_pink_,_pink_,_brownDark_r,,,_blue_,_blueDark_r,_blue_,_brownDark_g,,,_pink_,
-1860,_brownDark_r,_blueDark_r,_blue_,_pink_,_pink_,_blue_,_blue_,_blue_,_pink_,_blue_,,,_blueDark_r,_blue_,_pink_,_brownDark_r,_brownDark_r,_pink_,_blue_,_blue_,_blueDark_r,_blueDark_r,_pink_,,,_pink_,_pink_
-1800,_brownDark_r,_blue_,_pink_,_pink_,_pink_,_blueDark_g,_blueDark_r,_blue_,_brownDark_r,_blue_,,,_blue_,_brownDark_r,_pink_,_pink_,_brownDark_r,_brownDark_r,_pink_,_blue_,_brownDark_r,_blue_,_blue_,,,_blueDark_r,_brownDark_r
-1740,_brownDark_r,_blue_,_blueDark_r,_blueDark_r,_pink_,_blue_,_blue_,_blue_,_pink_,,_blueDark_r,_blueDark_r,_pink_,_blueDark_r,_blue_,_brown_g,_blueDark_r,_brownDark_r,_pink_,_blue_,_pink_,_blueDark_r,_blueDark_r,,,,_blueDark_g
