time to NEB,1,4,5i,5ii,6i,6ii,7i,7ii,8,2,3,4i,4ii,2i,2ii,3,4i,4ii,6i,6ii,10,1i,1ii,2i,2ii,5i,5ii,6,7,8i,8ii,11i,11ii,12,13i,13ii,14i,14ii,15i,15ii
-3900,,,,,_blue_,_blue_,_blueDark_r,_brownDark_r,_brownDark_r,,,_blue_,_blue_,_blue_,_brownDark_r,,_pink_,_brownDark_r,_brown_g,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_brownDark_r,_blue_,,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blue_
-3840,,,,,_blue_,_blue_,_blue_,_blue_,_brownDark_r,,,_blue_,_blueDark_r,_blue_,_blue_,,_pink_,_brownDark_r,_blue_,_blue_,,,,,,,,_blueDark_r,,_blueDark_r,_pink_,_blueDark_r,_blue_,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-3780,,,,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,,,_blueDark_g,_blue_,_brownDark_r,_blue_,,_blue_,_blue_,_brown_r,_blue_,,,,,,,,_blueDark_r,,_blue_,_blue_,_blue_,_blue_,,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r
-3720,,,,,_blue_,_blue_,_brownDark_r,_blueDark_r,_pink_,,,_blueDark_r,_blue_,_brownDark_r,_blue_,_blueDark_g,_pink_,_brownDark_r,_blue_,_blueDark_r,,,,,,,,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blue_,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-3660,,,,,_blue_,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,,,_blue_,_blue_,_brownDark_r,_blue_,_blueDark_g,_brownDark_r,_blue_,_blue_,_blueDark_r,,,,,,,,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blue_,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_
-3600,,,,,_blue_,_blue_,_blue_,_brownDark_r,_brownDark_r,,,_blueDark_r,_blue_,_brownDark_r,_pink_,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,,,,,,_blueDark_r,,_blue_,_blue_,_brownDark_r,_blueDark_g,,_pink_,_blueDark_r,_blue_,_blueDark_g,_blueDark_r,_blue_
-3540,,,,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_brown_r,_pink_,_blueDark_g,_blue_,_blue_,_blueDark_r,_brownDark_r,,,,,,,,_blueDark_r,,_blue_,_blue_,_blueDark_r,_brownDark_r,,_blue_,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_
-3480,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blue_,_brown_r,_brownDark_r,_blueDark_g,_blueDark_g,_blue_,_brown_r,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_brownDark_r,_pink_,,_blue_,_blueDark_r,_blue_,_blue_,_brownDark_r,_blue_
-3420,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,,,_brownDark_r,_blueDark_r,_brown_r,_brownDark_r,_blue_,_blue_,_brownDark_r,_brownDark_r,_blue_,,,,,,,,_brownDark_r,,_blueDark_r,_blueDark_r,_brown_r,_blue_,,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,
-3360,,,,,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,,,_blueDark_r,_blueDark_r,_pink_,_blue_,_blueDark_g,_blueDark_g,_blue_,_blue_,_blue_,,,,,,,,_blue_,,_blueDark_r,_blue_,_blueDark_r,_blue_,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blue_
-3300,,,,,_blue_,_blueDark_r,_blueDark_g,_blue_,_brownDark_r,,,_blueDark_r,_brown_r,_brown_r,_brownDark_r,_pink_,_blueDark_g,_brownDark_r,_blue_,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_blueDark_r,_blue_,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_
-3240,,,_blue_,,_blue_,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blueDark_r,_brown_r,_brownDark_r,_blueDark_g,_blue_,_blue_,_blue_,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_blueDark_r,_blueDark_r,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-3180,,,_blue_,,_blue_,_blue_,_blue_,_blueDark_r,_brownDark_r,,,_blue_,_blue_,_brown_r,_blueDark_r,_blue_,_pink_,_blueDark_r,_blue_,_blue_,,,,,,,,_blue_,,_blueDark_r,_blue_,_blueDark_r,_blue_,,_blue_,_blueDark_r,_blue_,_brownDark_r,_blue_,_blue_
-3120,,,_blueDark_g,,_blue_,_blue_,_blue_,_blueDark_r,_blueDark_r,,,_blue_,_brownDark_r,_brown_r,_brownDark_r,_blue_,_pink_,_blue_,_blue_,_blueDark_r,,,,,,,,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blue_,,_pink_,_blue_,_blueDark_r,_brownDark_r,_blue_,_blue_
-3060,,,_blue_,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,,,_blueDark_r,_blueDark_r,_brown_r,_blueDark_g,_blue_,_brownDark_r,_brownDark_r,_blue_,_blue_,,,,,,,,_brownDark_r,,_blue_,_blue_,_brown_r,_blue_,,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-3000,,,_blue_,,_blue_,_blue_,_blue_,_blue_,_blue_,,,_blue_,_brownDark_r,_brown_r,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,,,,,,,,_blueDark_r,,_blue_,_blue_,_brown_r,_blue_,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r
-2940,,,_blue_,,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,,,_blue_,_brownDark_r,_brown_r,_blueDark_g,_brown_r,_blue_,_blueDark_r,_blueDark_r,_blue_,,,,,,,,_blueDark_r,,_blue_,_blue_,_pink_,_blue_,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-2880,,,_blueDark_r,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,,,_blue_,_brown_r,_pink_,_blueDark_g,_blue_,_blueDark_g,_blue_,_blueDark_r,_blue_,,,,,,,,_blueDark_r,,_blue_,_blue_,_brownDark_r,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r
-2820,,,_blue_,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,,,_blue_,_brownDark_r,_brownDark_r,_pink_,_blue_,_blue_,_blue_,_blue_,_blue_,,,,,,,,_blueDark_r,,_blue_,_blue_,_brownDark_r,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-2760,,,_blue_,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,,,_blueDark_r,_blue_,_brownDark_r,_blue_,_blue_,_brownDark_r,_brownDark_r,_blue_,_blueDark_r,,,,,,,,_brownDark_r,,_blue_,_blue_,_blueDark_r,_blue_,,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_r
-2700,,,_blueDark_r,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_brown_r,_blueDark_r,_blue_,,_brownDark_r,_blue_,_blue_,,,,,,,,_blueDark_r,,_blueDark_r,_blue_,_blueDark_r,_blue_,,_brownDark_r,_pink_,_blue_,_blue_,_blueDark_g,_blue_
-2640,,,_blue_,,_blue_,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blueDark_r,_brownDark_r,_blueDark_g,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,,,,,,,,_blueDark_r,,_blue_,_brownDark_r,_blueDark_r,_blue_,,_pink_,_blue_,_blueDark_r,_blue_,_blueDark_g,_blue_
-2580,,,_blue_,,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_brown_r,_blueDark_r,_blue_,_pink_,_blue_,_blue_,_pink_,,,,,,,,_brownDark_r,,_blue_,_brownDark_r,_brownDark_r,_blue_,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_
-2520,,,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,,,_blue_,_blue_,_pink_,_blue_,_blue_,_blueDark_r,_brown_r,_blue_,_blueDark_r,,,,,,,,_blue_,,_blueDark_r,_blue_,_brownDark_r,_blue_,,_brownDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_
-2460,,,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_brownDark_r,_blueDark_g,_blue_,_blue_,_brown_r,_blue_,_blue_,,,,,,,,_blue_,,_pink_,_blue_,_blue_,_blueDark_r,,_brownDark_r,_blueDark_r,_brown_r,_blueDark_g,_blueDark_r,_blue_
-2400,,,_brownDark_r,,_brownDark_r,_blue_,_pink_,_blue_,_blue_,,,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,_brownDark_r,_blue_,_blue_,,,,,,,,_blue_,,_blue_,_blueDark_g,_blue_,_blueDark_r,,_blueDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_g
-2340,,,_blue_,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blueDark_g,_brownDark_r,_blueDark_g,_blue_,,,,,,,,_blueDark_r,,_blueDark_g,_blue_,_blue_,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_
-2280,,,_blue_,_blueDark_r,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,_brownDark_r,_pink_,_blue_,_blue_,_pink_,_blueDark_g,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_blueDark_r,_blue_,,_blueDark_r,_blue_,_blue_,_blue_,_brownDark_r,_blue_
-2220,,,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_pinkDark_,,,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,_blueDark_g,_blueDark_r,_blueDark_r,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_blueDark_r,_brownDark_r,,_blueDark_r,_pink_,_blue_,_blue_,_pink_,_brownDark_g
-2160,,,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,,,_blue_,_blue_,_pinkDark_,_brownDark_r,_blueDark_g,_pink_,_blue_,_pink_,_blue_,,,,,,,,_blue_,,_blueDark_g,_blue_,_pink_,_blue_,,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_g,_blue_
-2100,,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,,,_blue_,_brown_r,_brownDark_r,_pink_,_blueDark_g,_pink_,_blue_,_blueDark_r,_blue_,,,,,,,,_blue_,,_blueDark_g,_blue_,_blue_,_pink_,,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,_blueDark_r
-2040,,,_blue_,_blue_,_blue_,_blue_,_blue_,_brownDark_r,_blueDark_r,,,_blueDark_r,_blue_,_brownDark_r,_brownDark_r,_blue_,_pink_,_blue_,_pinkDark_,_blueDark_g,,,,,,,,_blueDark_r,,_pink_,_blue_,_brownDark_r,_brown_r,,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_
