time to NEB,1i,1ii,2i,2ii,4i,4ii,5i,5ii,6,7i,7ii,8i,8ii,9,1i,1ii,2,3i,3ii,4i,4ii,5i,5ii,6,7i,7ii,8,9i,9ii,11i,11ii,13i,13ii,14i,14ii,1,2
-3000,,,,,_blueDark_r,_brown_r,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,_blue_,_blue_,_blue_,,,,_blueDark_r,,,,_pink_,_brownDark_r,_blue_,_blue_,,,_pink_,_blueDark_r,_blue_,_blue_,_blueDark_g,_brownDark_r,,
-2940,,,,,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,,,,_blue_,_brownDark_r,_brownDark_r,_blue_,_blue_,,,,_blueDark_r,_blue_,,,_pink_,_blue_,_blue_,_blue_,,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_brownDark_r,,
-2880,,,,,_blue_,_blueDark_r,_blue_,_blue_,,,,_pinkDark_,_brownDark_r,_blueDark_g,_blue_,_blue_,,,,_blueDark_r,_blue_,,,_blueDark_r,_brownDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_brownDark_r,,
-2820,,,,,_blue_,_blueDark_r,_blueDark_r,_blue_,,,,_pink_,_blue_,_blueDark_g,_blue_,_blue_,,,,_blueDark_r,_pink_,,,_blueDark_r,_brownDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,,
-2760,,,,,_blueDark_r,_brownDark_r,_blue_,_blue_,,,,_blueDark_g,_blue_,_blue_,_blue_,_blueDark_g,,,,_blueDark_r,_blueDark_r,,,_blue_,_blueDark_r,_blue_,_blue_,,,_blueDark_r,_blue_,_blue_,_brownDark_r,_blue_,_blue_,,
-2700,,,,,_blueDark_r,_brownDark_r,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,_pink_,_blue_,_blue_,,,,_brownDark_r,_pink_,,,_blue_,_blueDark_r,_blueDark_r,_blue_,,,_blue_,_blueDark_g,_blue_,_blue_,_blue_,_pink_,,
-2640,,,,,_blueDark_r,_blue_,_blue_,_blue_,,,,_blueDark_r,_brownDark_r,_blue_,_blue_,_blue_,,,,_pink_,_brownDark_r,,,_blueDark_g,_blueDark_r,_blueDark_r,_blueDark_r,,,_brownDark_g,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,,
-2580,,,,,_blue_,_brownDark_r,_blue_,_blue_,,,,_brown_r,_blue_,_blue_,_blue_,_blue_,,,,_blue_,,,,_blue_,_blue_,_blue_,_blue_,,,_brownDark_g,_pink_,_blue_,_blueDark_r,_brownDark_r,_blueDark_r,,
-2520,,,,,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,,_pink_,_blueDark_g,_blueDark_r,_blue_,_blue_,,,,_blueDark_r,_blue_,,,_blueDark_r,_blue_,_blue_,_blue_,,,_brownDark_r,_blue_,_blue_,_blue_,_brownDark_r,_blueDark_r,,
-2460,,,,,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,,_brownDark_r,_blue_,_brownDark_r,_blue_,_blueDark_g,,,,_brownDark_r,_blue_,,,_blue_,_blue_,_blue_,_blueDark_r,,,_blueDark_r,_blue_,_blue_,_pink_,_blueDark_r,_blue_,,
-2400,,,,,_blue_,_brownDark_r,_blue_,_blueDark_r,,,,_blueDark_r,_brown_r,_blue_,_blue_,_brownDark_g,,,,_blueDark_r,_blue_,,,_blueDark_r,_blue_,_blue_,_brown_r,,,_blue_,_blue_,_blue_,_blue_,_blueDark_g,_blueDark_r,,
-2340,,,,,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,,,_blueDark_r,_blue_,_brown_r,_blueDark_r,_blueDark_r,_blue_,,,,_blueDark_r,_blue_,,,_blue_,_brownDark_r,_blue_,_blue_,,,_pink_,_blue_,_blueDark_r,_brown_r,_brownDark_r,_brownDark_r,,
-2280,,,,,_brownDark_r,_brownDark_r,_blue_,_blue_,,,_blue_,_pink_,_brownDark_r,_blue_,_blueDark_r,_blue_,,,,_brownDark_r,_blueDark_g,,,_pink_,_blueDark_r,_blue_,_blue_,,,_brownDark_r,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,,
-2220,,,,,_blue_,_pink_,_blue_,_blueDark_r,,,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_g,,,,_blue_,_blue_,,,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,,,_blue_,_blueDark_r,_blue_,_blueDark_r,_brownDark_r,_brownDark_r,,
-2160,,,,,_blue_,_brownDark_r,_blue_,_blue_,,,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_g,,,,_blue_,_blue_,,,_blue_,_blueDark_r,_blue_,_blue_,,,_blueDark_g,_blue_,_brownDark_r,_blueDark_r,_brownDark_r,_blueDark_r,,
-2100,,,_blue_,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,,,_brownDark_r,_blue_,_blue_,_brownDark_r,_blue_,_blue_,,,,_blue_,_blueDark_g,,,_blueDark_r,_brownDark_r,_blue_,_blue_,,,_blueDark_r,_pink_,_blue_,_blue_,_brownDark_r,_blueDark_r,,
